id,result
0,7
1,36
2,19
3,12
4,45
5,36
6,19
7,34
8,22
9,46
10,34
11,44
12,19
13,36
14,45
15,35
16,12
17,41
18,36
19,2
20,14
21,35
22,40
23,45
24,0
25,45
26,32
27,2
28,1
29,48
30,41
31,45
32,44
33,7
34,39
35,35
36,3
37,5
38,0
39,46
40,5
41,24
42,35
43,45
44,19
45,35
46,47
47,19
48,25
49,22
50,40
51,4
52,19
53,14
54,34
55,37
56,44
57,3
58,35
59,14
60,45
61,28
62,8
63,44
64,38
65,45
66,14
67,45
68,1
69,25
70,25
71,6
72,35
73,22
74,25
75,40
76,4
77,33
78,38
79,43
80,46
81,45
82,47
83,17
84,38
85,6
86,3
87,45
88,35
89,43
90,44
91,3
92,43
93,33
94,4
95,43
96,37
97,34
98,7
99,31
100,18
101,36
102,43
103,14
104,21
105,37
106,19
107,40
108,46
109,47
110,7
111,5
112,23
113,44
114,22
115,32
116,35
117,45
118,4
119,14
120,21
121,13
122,35
123,0
124,35
125,33
126,29
127,42
128,41
129,30
130,14
131,44
132,1
133,32
134,47
135,45
136,4
137,36
138,3
139,17
140,35
141,5
142,34
143,35
144,37
145,39
146,41
147,7
148,37
149,37
150,43
151,8
152,45
153,5
154,31
155,4
156,5
157,40
158,28
159,35
160,19
161,0
162,3
163,18
164,1
165,48
166,17
167,46
168,37
169,37
170,37
171,2
172,14
173,33
174,5
175,33
176,40
177,24
178,19
179,30
180,45
181,0
182,5
183,28
184,40
185,22
186,4
187,41
188,33
189,19
190,0
191,45
192,7
193,3
194,20
195,33
196,5
197,45
198,5
199,48
200,3
201,0
202,33
203,4
204,45
205,20
206,44
207,32
208,24
209,25
210,4
211,8
212,6
213,33
214,36
215,10
216,48
217,40
218,28
219,18
220,0
221,40
222,12
223,48
224,2
225,39
226,36
227,25
228,18
229,35
230,46
231,32
232,34
233,33
234,34
235,43
236,38
237,10
238,38
239,1
240,18
241,5
242,36
243,23
244,38
245,2
246,35
247,21
248,43
249,19
250,14
251,19
252,0
253,25
254,40
255,33
256,47
257,41
258,9
259,36
260,33
261,0
262,2
263,6
264,45
265,33
266,10
267,25
268,35
269,7
270,18
271,23
272,27
273,22
274,17
275,32
276,48
277,36
278,1
279,22
280,32
281,46
282,0
283,4
284,4
285,23
286,17
287,1
288,12
289,20
290,32
291,20
292,41
293,35
294,10
295,9
296,23
297,35
298,31
299,6
300,32
301,4
302,48
303,40
304,45
305,2
306,41
307,19
308,15
309,45
310,41
311,41
312,48
313,39
314,31
315,34
316,20
317,20
318,34
319,10
320,41
321,6
322,37
323,35
324,14
325,2
326,10
327,0
328,36
329,36
330,36
331,5
332,5
333,20
334,14
335,0
336,43
337,30
338,48
339,1
340,2
341,40
342,10
343,3
344,28
345,3
346,6
347,4
348,12
349,45
350,0
351,14
352,18
353,14
354,0
355,40
356,1
357,9
358,14
359,5
360,48
361,34
362,45
363,14
364,47
365,41
366,34
367,1
368,35
369,10
370,7
371,33
372,2
373,10
374,45
375,44
376,4
377,25
378,44
379,20
380,3
381,5
382,5
383,20
384,0
385,10
386,39
387,44
388,20
389,5
390,3
391,37
392,37
393,44
394,0
395,19
396,3
397,39
398,9
399,48
400,45
401,43
402,34
403,37
404,45
405,22
406,18
407,47
408,19
409,6
410,39
411,48
412,35
413,0
414,46
415,1
416,12
417,35
418,45
419,35
420,23
421,43
422,48
423,7
424,6
425,46
426,34
427,47
428,31
429,2
430,19
431,23
432,46
433,37
434,33
435,36
436,6
437,9
438,40
439,38
440,48
441,48
442,5
443,28
444,36
445,34
446,17
447,1
448,3
449,33
450,9
451,42
452,34
453,10
454,37
455,0
456,45
457,37
458,35
459,9
460,4
461,5
462,47
463,39
464,34
465,25
466,6
467,29
468,1
469,2
470,40
471,3
472,44
473,41
474,23
475,22
476,19
477,8
478,19
479,17
480,32
481,47
482,37
483,46
484,33
485,20
486,39
487,0
488,5
489,14
490,36
491,38
492,18
493,12
494,7
495,10
496,33
497,18
498,20
499,5
500,21
501,34
502,39
503,23
504,0
505,0
506,18
507,1
508,45
509,0
510,46
511,44
512,41
513,8
514,40
515,5
516,3
517,28
518,40
519,18
520,37
521,19
522,19
523,45
524,40
525,17
526,2
527,33
528,4
529,30
530,43
531,19
532,34
533,4
534,1
535,30
536,12
537,45
538,5
539,14
540,35
541,32
542,34
543,28
544,34
545,35
546,41
547,37
548,14
549,35
550,14
551,31
552,6
553,20
554,5
555,6
556,35
557,48
558,22
559,22
560,35
561,29
562,33
563,14
564,33
565,3
566,45
567,25
568,3
569,8
570,29
571,30
572,1
573,43
574,19
575,32
576,42
577,36
578,28
579,14
580,47
581,45
582,12
583,48
584,47
585,34
586,30
587,17
